date,Revenue,EBIT,TotalAssets,TotalDebt,PretaxIncome,TaxProvision,InterestExpense,effective_tax_rate,implied_cost_of_debt,revenue_growth_1y,revenue_growth_3y,historical_ebit_margin,latest_shares_outstanding,latest_beta,latest_current_price,latest_roe,latest_net_margin,latest_enterprise_value,latest_market_cap,latest_debt_to_equity,revenue_ttm,ebit_ttm
2015-06-30,,8377000000.0,2449098000000.0,,8377000000.0,2087000000,3718000000.0,,,,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,,8377000000.0
2015-09-30,,6730000000.0,2416635000000.0,,6730000000.0,-74000000,1815000000.0,,,,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,,15107000000.0
2015-12-31,93543000000.0,30702000000.0,2351698000000.0,,30702000000.0,6260000000,7463000000.0,,,,,0.3282126936275296,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,93543000000.0,45809000000.0
2016-03-31,,7578000000.0,2423808000000.0,,7578000000.0,2058000000,2172000000.0,,,,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,93543000000.0,53387000000.0
2016-06-30,,9340000000.0,2466096000000.0,,9340000000.0,3140000000,2466000000.0,,,,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,93543000000.0,54350000000.0
2016-09-30,,25857000000.0,2521029000000.0,,25857000000.0,7851000000,2467000000.0,,,,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,93543000000.0,73477000000.0
2016-12-31,96569000000.0,34536000000.0,2490972000000.0,,34536000000.0,9803000000,9818000000.0,,,0.032348759394075444,,0.3576302954364237,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,96569000000.0,77311000000.0
2017-03-31,,8341000000.0,2546290000000.0,,8341000000.0,1893000000,2978000000.0,,,0.032348759394075444,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,96569000000.0,78074000000.0
2017-06-30,,9749000000.0,2563174000000.0,,9749000000.0,2720000000,3442000000.0,,,0.032348759394075444,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,96569000000.0,78483000000.0
2017-09-30,,27646000000.0,2563074000000.0,,27646000000.0,7437000000,3889000000.0,,,0.032348759394075444,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,96569000000.0,80272000000.0
2017-12-31,100705000000.0,35900000000.0,2533600000000.0,,35900000000.0,11459000000,14275000000.0,,,0.042829479439571605,,0.3564867682836006,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,100705000000.0,81636000000.0
2018-03-31,,10662000000.0,2609785000000.0,,10662000000.0,1950000000,4383000000.0,,,0.042829479439571605,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,100705000000.0,83957000000.0
2018-06-30,,21234000000.0,2590050000000.0,,21234000000.0,2256000000,5081000000.0,,,0.042829479439571605,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,100705000000.0,95442000000.0
2018-09-30,,10689000000.0,2615183000000.0,,10689000000.0,6515000000,5932000000.0,,,0.042829479439571605,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,100705000000.0,78485000000.0
2018-12-31,108783000000.0,40764000000.0,2622532000000.0,,40764000000.0,8290000000,22383000000.0,,,0.08021448786058283,0.051598389990555216,0.3747276688453159,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,108783000000.0,83349000000.0
2019-03-31,,11233000000.0,2737188000000.0,,11233000000.0,2054000000,6936000000.0,,,0.08021448786058283,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,108783000000.0,83920000000.0
2019-06-30,,22575000000.0,2727379000000.0,,22575000000.0,1690000000,7205000000.0,,,0.08021448786058283,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,108783000000.0,85261000000.0
2019-09-30,,11405000000.0,2764661000000.0,,11405000000.0,2325000000,21034000000.0,,,0.08021448786058283,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,108783000000.0,85977000000.0
2019-12-31,115399000000.0,44866000000.0,2687379000000.0,,44866000000.0,8435000000,26795000000.0,,,0.06081832639291074,0.061177672565096985,0.3887901974887131,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,115399000000.0,90079000000.0
2020-03-31,,3116000000.0,3138530000000.0,,3116000000.0,345000000,4722000000.0,,,0.06081832639291074,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,115399000000.0,81962000000.0
2020-06-30,,5660000000.0,3212643000000.0,,5660000000.0,973000000,2259000000.0,,,0.06081832639291074,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,115399000000.0,65047000000.0
2020-09-30,,11769000000.0,3245061000000.0,,11769000000.0,2218000000,8668000000.0,,,0.06081832639291074,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,115399000000.0,65411000000.0
2020-12-31,119951000000.0,35815000000.0,3384757000000.0,,35815000000.0,6684000000,9960000000.0,,,0.03944574909661269,0.060028673656764564,0.2985802536035548,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,119951000000.0,56360000000.0
2021-03-31,,17697000000.0,3689336000000.0,,17697000000.0,3397000000,1382000000.0,,,0.03944574909661269,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,119951000000.0,70941000000.0
2021-06-30,,15097000000.0,3684256000000.0,,15097000000.0,3149000000,1353000000.0,,,0.03944574909661269,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,119951000000.0,80378000000.0
2021-09-30,,14111000000.0,3757576000000.0,,14111000000.0,8970000000,4135000000.0,,,0.03944574909661269,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,119951000000.0,82720000000.0
2021-12-31,121649000000.0,59562000000.0,3743567000000.0,,59562000000.0,11228000000,5553000000.0,,,0.014155780276946528,0.03796450877341995,0.48962178069692314,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,121649000000.0,106467000000.0
2022-03-31,,10063000000.0,3954687000000.0,,10063000000.0,1781000000,1624000000.0,,,0.014155780276946528,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,121649000000.0,98833000000.0
2022-06-30,,10865000000.0,3841314000000.0,,10865000000.0,3997000000,3518000000.0,,,0.014155780276946528,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,121649000000.0,94601000000.0
2022-09-30,,12001000000.0,3773884000000.0,,12001000000.0,6261000000,13235000000.0,,,0.014155780276946528,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,121649000000.0,92491000000.0
2022-12-31,128695000000.0,46166000000.0,3665743000000.0,,46166000000.0,8490000000,26097000000.0,,,0.05792073917582563,0.03701859272674679,0.35872411515598895,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,128695000000.0,79095000000.0
2023-03-31,,15967000000.0,3744305000000.0,,15967000000.0,3345000000,16293000000.0,,,0.05792073917582563,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,128695000000.0,84999000000.0
2023-06-30,,17586000000.0,3868240000000.0,,17586000000.0,6459000000,19865000000.0,,,0.05792073917582563,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,128695000000.0,91720000000.0
2023-09-30,,50286000000.0,3898333000000.0,,50286000000.0,3582000000,21830000000.0,,,0.05792073917582563,,,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,128695000000.0,130005000000.0
2023-12-31,158104000000.0,61612000000.0,3875393000000.0,,61612000000.0,12060000000,81321000000.0,,,0.22851703640390064,0.09642684821931224,0.3896928603956889,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,158104000000.0,145451000000.0
2024-03-31,41908000000.0,17293000000.0,4090727000000.0,442140000000.0,17293000000.0,3874000000,24356000000.0,0.22402128028682125,0.15,-0.6743618633202533,,0.4126419776653622,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,200012000000.0,146777000000.0
2024-06-30,42068000000.0,23435000000.0,4143003000000.0,441336000000.0,23435000000.0,5286000000,,0.22556005973970558,0.15,-0.6731186137767591,,0.5570742607207378,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,242080000000.0,152626000000.0
2024-09-30,42656000000.0,16978000000.0,4210048000000.0,460795000000.0,16978000000.0,4080000000,,0.2403109906938391,0.15,-0.6685496717044175,,0.3980213803450863,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,284736000000.0,119318000000.0
2024-12-31,177556000000.0,75081000000.0,4002814000000.0,454311000000.0,75081000000.0,16610000000,,0.1939568345323741,0.15,0.12303294034306522,0.13433744820007743,0.42285814053031157,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,304188000000.0,132787000000.0
2025-03-31,45327000000.0,18408000000.0,4357856000000.0,472204000000.0,18408000000.0,3765000000,,0.20453063885267275,0.15,0.08158346855015752,,0.40611556026209544,2779089920,1.084,281.26,0.17352,0.35382,399271100416,781646888960,0.6041142640555204,307607000000.0,133902000000.0
